section,worksheet,row_id,row_label,custom_name,year,amount,notes,local_funds,grant_funds,debt_service,key,value
meta,,,,,,,,,,townName,Pawlet
meta,,,,,,,,,,preparedBy,Planning Commission / Selectboard
meta,,,,,,,,,,startYear,2026
meta,,,,,,,,,,numYears,5
budget_year,,,,,,FY2026,,,,750000,120000,85000,,
budget_year,,,,,,FY2027,,,,750000,120000,85000,,
budget_year,,,,,,FY2028,,,,775000,130000,42000,,
budget_year,,,,,,FY2029,,,,775000,130000,0,,
budget_year,,,,,,FY2030,,,,800000,140000,0,,
cell,highway,hw-road-1,Road (1),Rt 133 Class 2 paving (segment 1),FY2026,280000,,,,,,,
cell,highway,hw-road-1,Road (1),Rt 133 Class 2 paving (segment 1),FY2027,280000,,,,,,,
cell,highway,hw-road-2,Road (2),Briar Hill Rd gravel-to-pave,FY2028,320000,,,,,,,
cell,highway,hw-road-3,Road (3),Egg Hill Rd shimming,FY2029,85000,,,,,,,
cell,highway,hw-culvert-1,Large Culvert (1),TH 4 culvert at Flower Brook,FY2027,120000,,,,,,,
cell,highway,hw-culvert-1,Large Culvert (1),TH 4 culvert at Flower Brook,FY2028,180000,,,,,,,
cell,highway,hw-culvert-2,Large Culvert (2),TH 12 cross culvert,FY2029,95000,,,,,,,
cell,highway,hw-bridge-1,Bridge (1),Bridge #7 TH 3 deck rehab,FY2028,50000,,,,,,,
cell,highway,hw-bridge-1,Bridge (1),Bridge #7 TH 3 deck rehab,FY2029,200000,,,,,,,
cell,highway,hw-stormwater,Stormwater,,FY2027,25000,,,,,,,
cell,highway,hw-stormwater,Stormwater,,FY2028,25000,,,,,,,
cell,highway,hw-stormwater,Stormwater,,FY2029,25000,,,,,,,
cell,highway,hw-stormwater,Stormwater,,FY2030,25000,,,,,,,
cell,highway,hw-salt,Salt Shed,,FY2030,180000,,,,,,,
cell,highway,hw-other-1,Other,Annual gravel road maintenance,FY2026,40000,,,,,,,
cell,highway,hw-other-1,Other,Annual gravel road maintenance,FY2027,40000,,,,,,,
cell,highway,hw-other-1,Other,Annual gravel road maintenance,FY2028,42000,,,,,,,
cell,highway,hw-other-1,Other,Annual gravel road maintenance,FY2029,42000,,,,,,,
cell,highway,hw-other-1,Other,Annual gravel road maintenance,FY2030,45000,,,,,,,
cell,facilities,fac-town-office,Town Office / Town Hall,,FY2027,45000,,,,,,,
cell,facilities,fac-town-garage,Town Garage,,FY2026,65000,,,,,,,
cell,facilities,fac-town-shed,Town Shed,West Pawlet Town Shed,FY2030,35000,,,,,,,
cell,facilities,fac-library,Library,,FY2028,25000,,,,,,,
cell,facilities,fac-library,Library,,FY2029,350000,,,,,,,
cell,water,ww-plant,Wastewater Treatment Plant,,FY2029,75000,,,,,,,
cell,water,ww-plant,Wastewater Treatment Plant,,FY2030,450000,,,,,,,
cell,water,ww-pump-1,Pump Station (1),West Pawlet pump station,FY2028,75000,,,,,,,
cell,water,ww-pump-2,Pump Station (2),Egg St pump station,FY2030,40000,,,,,,,
cell,water,ww-generator,Backup Generator,,FY2026,55000,,,,,,,
cell,water,ww-other-1,Other,Sewer line inspection + lining,FY2027,35000,,,,,,,
cell,water,ww-other-1,Other,Sewer line inspection + lining,FY2028,35000,,,,,,,
cell,equipment,eq-dump-1,Dump Truck (1),2013 Mack Dump,FY2027,275000,,,,,,,
cell,equipment,eq-dump-2,Dump Truck (2),2018 Mack Dump,FY2030,300000,,,,,,,
cell,equipment,eq-grader,Grader,,FY2030,400000,,,,,,,
cell,equipment,eq-loader,Loader,,FY2029,240000,,,,,,,
cell,equipment,eq-backhoe,Backhoe / Excavator,,FY2028,250000,,,,,,,
cell,equipment,eq-tractor,Tractor,2005 New Holland,FY2029,120000,,,,,,,
cell,equipment,eq-pickup-1,Pickup / One-Ton (1),2020 Ram Pickup,FY2028,90000,,,,,,,
cell,equipment,eq-small,Small Equipment & Attachments,,FY2026,25000,,,,,,,
cell,equipment,eq-small,Small Equipment & Attachments,,FY2027,30000,,,,,,,
cell,equipment,eq-small,Small Equipment & Attachments,,FY2028,25000,,,,,,,
cell,equipment,eq-small,Small Equipment & Attachments,,FY2029,30000,,,,,,,
cell,equipment,eq-small,Small Equipment & Attachments,,FY2030,25000,,,,,,,
cell,equipment,eq-other-1,Other,2002 Eager Beaver Chipper,FY2028,50000,,,,,,,
row_meta,highway,hw-road-1,Road (1),Rt 133 Class 2 paving (segment 1),,,"2 miles from village to town line; VTrans paving grant applied for",,,,,,
row_meta,highway,hw-road-2,Road (2),Briar Hill Rd gravel-to-pave,,,"High-traffic gravel road; Better Roads assessment rated it priority",,,,,,
row_meta,highway,hw-road-3,Road (3),Egg Hill Rd shimming,,,"Preventive maintenance before full rebuild needed",,,,,,
